,Year_0,row_id,fund2
344,2022,2022_535,Grants
345,2022,2022_538,Grants
346,2022,2022_541,Grants
347,2022,2022_542,Grants
348,2022,2022_543,Grants
349,2022,2022_544,Grants
350,2022,2022_546,Grants
351,2022,2022_555,Grants
352,2022,2022_557,Grants
353,2022,2022_559,Grants
354,2022,2022_561,Grants
355,2022,2022_562,Grants
356,2022,2022_563,Grants
357,2022,2022_566,Grants
358,2022,2022_569,Grants
359,2022,2022_570,Grants
360,2022,2022_571,Grants
361,2022,2022_573,Grants
362,2022,2022_576,Grants
363,2022,2022_577,Grants
364,2022,2022_578,Grants
365,2022,2022_581,Grants
366,2022,2022_585,Grants
367,2022,2022_588,Grants
368,2022,2022_593,Grants
369,2022,2022_594,Grants
370,2022,2022_597,Grants
371,2022,2022_599,Grants
372,2022,2022_600,Grants
373,2022,2022_602,Grants
374,2022,2022_603,Grants
375,2022,2022_609,Grants
376,2022,2022_610,Grants
377,2022,2022_615,Grants
378,2022,2022_616,Grants
379,2022,2022_618,Grants
380,2022,2022_622,Grants
381,2022,2022_624,Grants
382,2022,2022_625,Grants
383,2022,2022_629,Grants
384,2022,2022_630,Grants
385,2022,2022_632,Grants
386,2022,2022_636,Grants
387,2022,2022_637,Grants
388,2022,2022_643,Grants
389,2022,2022_645,Grants
390,2022,2022_648,Grants
391,2022,2022_651,Grants
392,2022,2022_652,Grants
393,2022,2022_657,Grants
394,2022,2022_658,Grants
395,2022,2022_659,Grants
396,2022,2022_670,Grants
397,2022,2022_677,Grants
398,2022,2022_678,Grants
399,2022,2022_679,Grants
400,2022,2022_680,Grants
401,2022,2022_681,Grants
402,2022,2022_682,Grants
403,2022,2022_683,Grants
404,2022,2022_684,Grants
405,2022,2022_685,Grants
406,2022,2022_690,Grants
407,2022,2022_692,Grants
408,2022,2022_695,Grants
409,2022,2022_696,Grants
410,2022,2022_698,Grants
411,2022,2022_702,Grants
412,2022,2022_703,Grants
413,2022,2022_704,Grants
414,2022,2022_705,Grants
415,2022,2022_708,Grants
416,2022,2022_709,Grants
417,2022,2022_710,Grants
418,2022,2022_713,Grants
419,2022,2022_714,Grants
420,2022,2022_718,Grants
421,2022,2022_722,Grants
422,2022,2022_726,Grants
423,2022,2022_727,Grants
424,2022,2022_729,Grants
425,2022,2022_730,Grants
426,2022,2022_732,Grants
427,2022,2022_733,Grants
428,2022,2022_734,Grants
429,2022,2022_736,Grants
430,2022,2022_738,Grants
431,2022,2022_739,Grants
432,2022,2022_740,Grants
433,2022,2022_742,Grants
434,2022,2022_743,Grants
435,2022,2022_745,Grants
436,2022,2022_749,Grants
437,2022,2022_750,Grants
438,2022,2022_752,Grants
439,2022,2022_755,Grants
440,2022,2022_760,Grants
441,2022,2022_763,Grants
442,2022,2022_768,Grants
443,2022,2022_769,Grants
444,2022,2022_770,Grants
445,2022,2022_771,Grants
446,2022,2022_779,Grants
447,2022,2022_784,Grants
448,2022,2022_786,Grants
449,2022,2022_788,Grants
450,2022,2022_790,Grants
451,2022,2022_793,Grants
452,2022,2022_795,Grants
453,2022,2022_799,Grants
454,2022,2022_800,Grants
455,2022,2022_802,Grants
456,2022,2022_805,Grants
457,2022,2022_806,Grants
458,2022,2022_808,Grants
459,2022,2022_809,Grants
460,2022,2022_813,Grants
461,2022,2022_814,Grants
462,2022,2022_815,Grants
463,2022,2022_816,Grants
464,2022,2022_817,Grants
465,2022,2022_818,Grants
466,2022,2022_820,Grants
467,2022,2022_822,Grants
468,2022,2022_824,Grants
469,2022,2022_825,Grants
470,2022,2022_829,Grants
471,2022,2022_831,Grants
472,2022,2022_832,Grants
473,2022,2022_836,Grants
474,2022,2022_838,Grants
475,2022,2022_840,Grants
476,2022,2022_841,Grants
477,2022,2022_846,Grants
478,2022,2022_848,Grants
479,2022,2022_849,Grants
480,2022,2022_854,Grants
481,2022,2022_863,Grants
482,2022,2022_878,Grants
483,2022,2022_881,Grants
484,2022,2022_884,Grants
485,2022,2022_885,Grants
486,2022,2022_887,Grants
487,2022,2022_888,Grants
488,2022,2022_891,Grants
489,2022,2022_892,Grants
490,2022,2022_893,Grants
491,2022,2022_895,Grants
492,2022,2022_898,Grants
493,2022,2022_903,Grants
494,2022,2022_904,Grants
495,2022,2022_906,Grants
496,2022,2022_910,Grants
497,2022,2022_911,Grants
498,2022,2022_912,Grants
499,2022,2022_917,Grants
500,2022,2022_920,Grants
501,2022,2022_921,Grants
502,2022,2022_924,Grants
503,2022,2022_925,Grants
504,2022,2022_927,Grants
505,2022,2022_928,Grants
506,2022,2022_929,Grants
507,2022,2022_930,Grants
508,2022,2022_931,Grants
509,2022,2022_933,Grants
510,2022,2022_936,Grants
511,2022,2022_937,Grants
512,2022,2022_939,Grants
513,2022,2022_941,Grants
514,2022,2022_943,Grants
515,2022,2022_944,Grants
516,2022,2022_945,Grants
517,2022,2022_947,Grants
518,2022,2022_949,Grants
519,2022,2022_954,Grants
520,2022,2022_956,Grants
521,2022,2022_957,Grants
522,2022,2022_959,Grants
523,2022,2022_960,Grants
524,2022,2022_963,Grants
525,2022,2022_966,Grants
526,2022,2022_967,Grants
527,2022,2022_968,Grants
528,2022,2022_969,Grants
529,2022,2022_972,Grants
530,2022,2022_973,Grants
531,2022,2022_975,Grants
532,2022,2022_976,Grants
533,2022,2022_980,Grants
534,2022,2022_985,Grants
535,2022,2022_990,Grants
536,2022,2022_993,Grants
537,2022,2022_994,Grants
538,2022,2022_996,Grants
539,2022,2022_997,Grants
540,2022,2022_998,Grants
541,2022,2022_999,Grants
542,2022,2022_1000,Grants
543,2022,2022_1002,Grants
544,2022,2022_352,SaaS
545,2022,2022_378,SaaS
546,2022,2022_856,SaaS
547,2022,2022_117,Membership
548,2022,2022_843,Membership
549,2022,2022_6,Dual license
550,2022,2022_515,Dual license
551,2022,2022_884,Dual license
552,2022,2022_936,Dual license
553,2022,2022_273,Open core
554,2022,2022_411,Open core
555,2022,2022_483,Open core
556,2022,2022_809,Open core
557,2022,2022_946,Open core
558,2022,2022_8,Foundations & consortiums
559,2022,2022_22,Foundations & consortiums
560,2022,2022_26,Foundations & consortiums
561,2022,2022_62,Foundations & consortiums
562,2022,2022_81,Foundations & consortiums
563,2022,2022_103,Foundations & consortiums
564,2022,2022_114,Foundations & consortiums
565,2022,2022_116,Foundations & consortiums
566,2022,2022_122,Foundations & consortiums
567,2022,2022_130,Foundations & consortiums
568,2022,2022_160,Foundations & consortiums
569,2022,2022_200,Foundations & consortiums
570,2022,2022_265,Foundations & consortiums
571,2022,2022_268,Foundations & consortiums
572,2022,2022_299,Foundations & consortiums
573,2022,2022_383,Foundations & consortiums
574,2022,2022_425,Foundations & consortiums
575,2022,2022_456,Foundations & consortiums
576,2022,2022_484,Foundations & consortiums
577,2022,2022_511,Foundations & consortiums
578,2022,2022_514,Foundations & consortiums
579,2022,2022_541,Foundations & consortiums
580,2022,2022_561,Foundations & consortiums
581,2022,2022_690,Foundations & consortiums
582,2022,2022_708,Foundations & consortiums
583,2022,2022_718,Foundations & consortiums
584,2022,2022_807,Foundations & consortiums
585,2022,2022_809,Foundations & consortiums
586,2022,2022_817,Foundations & consortiums
587,2022,2022_830,Foundations & consortiums
588,2022,2022_852,Foundations & consortiums
589,2022,2022_907,Foundations & consortiums
