,Year_0,row_id,conf2can_0
770,2022,2022_535,RSEConUK
771,2022,2022_535,CarpentryCon
774,2022,2022_538,meeting c++
776,2022,2022_540,SORSE
778,2022,2022_540,CAA
779,2022,2022_540,Linked Pasts
780,2022,2022_540,ARCHEO.FOSS
782,2022,2022_542,American Meteorlogical Society Annual Meeting
783,2022,2022_543,UKSystems 
785,2022,2022_544,deRSE
786,2022,2022_544,RSECon UK
787,2022,2022_544,SSI Collaborations Workshop
788,2022,2022_544,ISC High Performance
790,2022,2022_544,some others
792,2022,2022_546,Global Grid Fora/Open Grid Fora 
793,2022,2022_546,UK eScience All Hands Conferences
797,2022,2022_547,ICRC
799,2022,2022_549,CAA
800,2022,2022_549,CLARIN Annual Conference
807,2022,2022_556,Alliance for Digital Humanities Organizations
810,2022,2022_559,Alliance of Digital Humanities Organizations Conference
811,2022,2022_559,Text Encoding Initiative Members Meeting
812,2022,2022_559,Music Encoding Conference
813,2022,2022_559,Digital Libraries for Musicology
819,2022,2022_563,NZ Geothermal Workshop
820,2022,2022_563,Stanford Geothermal Workshop
821,2022,2022_564,NZ RSE
822,2022,2022_564,eResearch NZ
825,2022,2022_566,ELMI
826,2022,2022_566,MMC
827,2022,2022_566,Seeing is Believing
829,2022,2022_568,useR!
832,2022,2022_571,ADASS
833,2022,2022_571,EAS
834,2022,2022_572,RSE conference
835,2022,2022_573,Scipy
838,2022,2022_575,Biophysical Society
841,2022,2022_577,ECAI
842,2022,2022_577,RCIS
843,2022,2022_577,CAA
844,2022,2022_578,SIGCSE
845,2022,2022_578,ICER
847,2022,2022_579,Various O'Reilly conferences
850,2022,2022_579,Micropaleontological Society AGM
853,2022,2022_581,ICWSM
854,2022,2022_581,FOSDEM
855,2022,2022_581,AoIR
856,2022,2022_582,Coling
857,2022,2022_582,EACL
858,2022,2022_582,NAACL
859,2022,2022_582,ACL
860,2022,2022_582,LREC
861,2022,2022_582,EMNLP
865,2022,2022_585,HBP Summit
866,2022,2022_585,NICE
871,2022,2022_590,APS
872,2022,2022_590,SC
874,2022,2022_590,special interest meetings
875,2022,2022_591,ISC
876,2022,2022_591,SC
880,2022,2022_595,BCS SGAI 
882,2022,2022_597, ICAISC
885,2022,2022_600,ACM VLDB
886,2022,2022_600,ACM SIGSPATIAL
888,2022,2022_602,Collaborations Workshop
899,2022,2022_610,CAOS
900,2022,2022_610,CRAS
905,2022,2022_615,SIAM CSE
906,2022,2022_615,PEARC
907,2022,2022_615,Supercomputing
913,2022,2022_619,SIAM GS
914,2022,2022_619,IMUM
915,2022,2022_619,COMMODORE
918,2022,2022_622,ECCOMAS
919,2022,2022_622,FOSDEM
920,2022,2022_622,conferences of other software communities
921,2022,2022_623,Local symposym for university students
922,2022,2022_624,Spanish R meeting
927,2022,2022_627,ACH
928,2022,2022_627,DHCS
929,2022,2022_627,AAS
930,2022,2022_627,others
936,2022,2022_632,EMTF
937,2022,2022_632,EMIW
942,2022,2022_637,EGU
943,2022,2022_637,AGU
945,2022,2022_639,EGU
948,2022,2022_642,Computer Aided Verification (CAV)
959,2022,2022_651,EGU
960,2022,2022_651,AGU
961,2022,2022_651,Dask summit
964,2022,2022_653,EGU
965,2022,2022_653,DGG
966,2022,2022_653,GeoKarlsruhe
967,2022,2022_653,GeoMuenster
972,2022,2022_658,Mostly in the bioimaging space.
973,2022,2022_659,Bibliothekartag
974,2022,2022_659,ELAG
975,2022,2022_659,WOLFcon
976,2022,2022_660,EGU
977,2022,2022_660,Tag der Hydrologie
979,2022,2022_662,DPG Frühjahrstagung
986,2022,2022_668,au côtés d'exposés plus généraux
988,2022,2022_670,Eccomas
995,2022,2022_676,Planetary Data Workshop
996,2022,2022_676,American Geophysical Union (AGU) Fall  Meeting
997,2022,2022_676,European Planetary Science Conference (EPSC)
999,2022,2022_677,DELFI
1000,2022,2022_677,LEARNTEC
1001,2022,2022_677,ECTEL
1004,2022,2022_679,European Crystallographic Meeting
1005,2022,2022_679,Gordon Research Conference
1007,2022,2022_680,CLEF
1009,2022,2022_681,ADASS
1010,2022,2022_681,ASTERICS
1012,2022,2022_683,RSEConf
1013,2022,2022_683,SSI Collaborations Workshop
1015,2022,2022_685,ISMP
1016,2022,2022_685,own workshops
1019,2022,2022_688,EGU
1020,2022,2022_689,EGU
1023,2022,2022_692,User meeting PETRA
1026,2022,2022_695,Living Planet Symposium
1029,2022,2022_698,CSN
1030,2022,2022_698,SfN
1031,2022,2022_698,HBP Summits
1035,2022,2022_702,SC
